id,"tanggal (WIB)","waktu (WIB)",lintang,bujur,"tingkat kepercayaan",satelit,"radius kemungkinan",kecamatan,kabupaten,provinsi,tipe
490318,2022-09-01,00:50:19,-1.55827165,113.6625824,8,noaa20,1125,Rungan,"Gunung Mas","Kalimantan Tengah",Pixel
490664,2022-09-01,12:38:43,-3.11069465,112.58078766,8,snpp,1125,"Seruyan Hilir Timur",Seruyan,"Kalimantan Tengah",Pixel
490665,2022-09-01,12:38:43,-3.11421943,112.58130646,8,snpp,1125,"Seruyan Hilir Timur",Seruyan,"Kalimantan Tengah",Pixel
490666,2022-09-01,12:38:43,-3.10658002,112.58419037,8,snpp,1125,"Seruyan Hilir Timur",Seruyan,"Kalimantan Tengah",Pixel
490840,2022-09-01,13:29:55,-3.11247182,112.57961273,8,noaa20,1125,"Seruyan Hilir Timur",Seruyan,"Kalimantan Tengah",Pixel
490847,2022-09-01,13:29:55,-3.06254721,110.99607849,8,noaa20,1125,"Pantai Lunci",Sukamara,"Kalimantan Tengah",Pixel
490863,2022-09-01,13:29:55,-1.07587469,112.43533325,8,noaa20,1125,"Katinga Hulu",Katingan,"Kalimantan Tengah",Pixel
490867,2022-09-01,13:29:55,-0.08523595,113.62468719,8,noaa20,1125,"Seribu Riam","Murung Raya","Kalimantan Tengah",Pixel
490868,2022-09-01,13:29:55,-0.08860983,113.62288666,8,noaa20,1125,"Seribu Riam","Murung Raya","Kalimantan Tengah",Pixel
491034,2022-09-02,00:31:24,-1.29104125,114.77062988,8,noaa20,1125,Montallat,"Barito Utara","Kalimantan Tengah",Pixel
491035,2022-09-02,00:31:24,-1.28762221,114.77114868,8,noaa20,1125,Montallat,"Barito Utara","Kalimantan Tengah",Pixel
491038,2022-09-02,00:31:24,-1.59677947,113.43080902,8,noaa20,1125,"Pulau Malam",Katingan,"Kalimantan Tengah",Pixel
491044,2022-09-02,00:31:24,-3.15202093,113.64330292,8,noaa20,1125,"Kahayan Kuala",Pulangpisau,"Kalimantan Tengah",Pixel
491073,2022-09-02,01:25:26,-1.28707469,114.76972961,8,snpp,1125,Montallat,"Barito Utara","Kalimantan Tengah",Pixel
